MAP_SYMBOL,GIS_CODE,STRAT_NAME,STRAT_UNIT_DESC
"Eas","E-oa-s","Smith Bay Shale","Sandstone, pink, massive, laminated, cross-beds, mud flakes, rare trilobite tracks, upper facies; limestone, oolitic; mudstone, grey-green to brown, micaceous, trilobite tracks, worm casts, synaeresis cracks, cross-beds, ripples, lower facies."
"Eas1","E-oa-s--01","Smith Bay Shale unit 1","Lower shale-siltstone facies. KINGSCOTE 1:250 000."
"Eas2","E-oa-s--02","Smith Bay Shale unit 2","Upper sandstone facies. KINGSCOTE 1:250 000."
"Eat","E-oa-t","Stokes Bay Sandstone","Arkose, red-brown to orange, trough cross-bedding, planar and slumped bedding.  Thick beds with large tabular cross-bedding and convoluted bedding."
"Eaw","E-oa-w","White Point Conglomerate","Conglomerate, coarse-grained, polymict; interbedded with red-brown micaceous shale, siltstone and gritty sandstone."
"Ee","E-oke","Keynes Subgroup","Sandstone, fine to medium-grained, thin siltstone interbeds; siltstone, minor sand lenses; marble."
"Eeb","E-okeb","Backstairs Passage Formation","Sandstone, laminated, thick bedded, slumped, crossbedded, with minor siltstone interbeds. Widespread siltstone unit at base."
"Eeb1","E-okeb--01","Backstairs Passage Formation unit 1","Schist, graphitic, kaolinised."
"Eeb2","E-okeb--02","Backstairs Passage Formation unit 2","Quartzite, interbeds."
"Eeb3","E-okeb--03","Backstairs Passage Formation unit 3","Calcsilicate rock, fine-grained, banded; minor calc-schist and non-banded calcsilicate rock."
"Eebt","E-okebt","Tungkillo Member","Marble, white, medium-grained; calc-silicate, fine- to medium-grained, recrystallised, white quartz-feldspar-rich and pale to dark green amphibole-pyroxene-rich interlayers."
"Eebt1","E-okebt-01","Tungkillo Member unit 1","Quartzite, interbeds."
"Eec","E-okec","Carrickalinga Head Formation","Sandstone, grey, thick bedded, with thinly bedded, muddy, siltstone interbeds. Minor cross-bedding, ripples, rare trace fossils."
"Eeca","E-okeca","Madigan Inlet Member","Sandstone, fine to medium-grained, lithic, feldspathic, massive to thin bedded, slump bedding, rip-up clasts, dewatering structures, ripples, cross-laminations, scours; siltstone, interbeds."
"Eecb","E-okecb","Blowhole Creek Member","Siltstone, minor lenticular sand lenses, in type section has numerous thin (1 to 3 mm) sand stringers particularly near the top."
"Eecc","E-okecc","Campana Creek Member","Sandstone, pale grey to brown, fine to medium-grained, siltstone interbeds. Parallel and cross-lamination, asymmetric ripples, slumping, low-angle tabular cross-bedding. Rare trace fossils."
"Eecm","E-okecm","Milendella Member","Limestone to marble, white to grey-brown, laminated, fine- to coarse-grained, impure, saccharoidal, recrystallised, garnetiferous in part, calcsilicate in part."
"Ef","E-of","Lake Frome Group","Sandstone; siltstone; shale; limestone; conglomerate."
"Efb","E-of-b","Balcoracana Formation","Siltstone, very micaceous; shale; carbonate; sandstone, arkosic, fine-grained and crossbedded. Trilobite tracks."
"Efg","E-of-g","Grindstone Range Sandstone","Sandstone, pale brown, grey, cross-bedded, trace fossils, conglomeratic towards the top."
"Efgd","E-of-gd","Dawson Hill Member","Sandstone, white, medium to coarse-grained; conglomerate, pebbles of quartzite, well rounded, poorly sorted."
"Efm","E-of-m","Moodlatana Formation","Siltstone, micaceous; shale; arkosic fine to medium-grained sandstone; minor carbonate."
"Efp","E-of-p","Pantapinna Sandstone","Sandstone, feldspathic, red to white, fine- to medium-grained; minor micaceous siltstone and shale."
"Eh","E-oh","Hawker Group","Limestone, siltstone, shale; lesser sandstone, greywacke, sandstone."
"Eh1","E-oh----01","Hawker Group unit 1","Parara (now Mernmerna) and Wilkawillina Limestones. Based on portion of Hawker Group as used on CURNAMONA."
"Eha","E-oh-a","Andamooka Limestone","Limestone, grey, off-white, brown, buff, pink, recrystallised, commonly dolomitised, locally sandy or pyritic.  Intraclastic or oolitic interbeds; siliciclastics at base.  Local trilobite fragments, archaeocyatha, calcimicrobes.  Peritidal/subtidal shelf."
"Ehac","E-oh-ac","Curdlawidny Siltstone Member","Mudstone, calcareous, micaceous, laminated, finely bedded, silty; siltstone; sandstone, fine-grained. Crossbedded, rippled and with load casts."
"Ehb","E-oh-b","Bunkers Sandstone","Sandstone, fine-grained, cross bedded; or silty, flat to ripple-laminated. Locally with sharp disconformable base. Rare trace fossils, body fossils extremely rare. Bipolar current directions at Wilkawillina Gorge."
"Ehd","E-oh-d","Midwerta Shale","Shale, green-grey to black, argillaceous pyritic and manganiferous."
"Ehe","E-oh-e","Nepabunna Siltstone","Limestone, green-grey to black, argillaceous, pyritic, manganiferous."
"Ehi","E-oh-i","Wirrapowie Limestone","Limestone and calcareous siltstone, green and grey, stromatolitic, intraformational conglomerate; minor cross bedded ooid grainstone."
"Ehj","E-oh-j","Ajax Limestone","Limestone, reefs, flat-topped, keep-up. Lower thick-bedded and upper nodular limestone."
"Ehm","E-oh-m","Moorowie Formation","Shale; siltstone; shelf margin oolite; reef limestone."
"Ehn","E-oh-n","Narina Greywacke","Sandstone, khaki coloured, parallel to ripple-laminated, silty to medium-grained and feldspathic."
"Eho","E-oh-o","Oraparinna Shale","Shale, calcareous."
"Ehp","E-oh-p","Parachilna Formation","Sandstone, upward-fining; siltstone and minor carbonate interbeds. Trace fossils include Diplocraterion, and Bemella."
"Ehp1","E-oh-p--01","Parachilna Formation unit 1","Sandstone, arkosic, red to purple, bioturbated, with Diplocraterion.  Basal unit."
"Ehq","E-oh-q","Woodendinna Dolomite","Dolomite; shale; conglomerate."
"Ehr","E-oh-r","Mernmerna Formation","Limestone; bioherm complexes. Slope, platform bioherm complexes, distal slope environments; turbidites; nodular wackestone; black laminated lime mud."
"Ehrl","E-oh-rl","Linns Springs Member","Wackestone, black, turbiditic; siltstone, calcareous; intraclast floatstone."
"Ehrs","E-oh-rs","Six Mile Bore Member","Limestone, turbiditic, interbedded with black calcareous siltstone, peloidal packstone, and wackestone."
"Ehrt","E-oh-rt","Third Plain Creek Member","Packstone-wackestone; interbedded with siltstone, calcareous. Black, slump folds, disrupted, graded and parallel laminae, fill structures, sedimentary boudinage.  Minor intraclastic floatstone. Turbiditic."
"Ehs","E-oh-s","Western Spur Limestone","Ooid grainstone, light to dark grey, massive, bedded, cross-bedded; dolostone, buff, fine-grained, crystalline, as interbeds in upper part; rare stromatolites. Sharp erosional base."
"Eht","E-oh-t","Bendieuta Formation","Packstone, ooid-peloid at base, with tuff bands. Slumped in part."
"Ehw","E-oh-w","Wilkawillina Limestone","Archaeocyath-calcimicrobe limestone."
"Ehwh","E-oh-wh","Hideaway Well Member","Mudstone-wackestone, grey, calcareous, mottled yellow-pink, fossiliferous, thrombolitic."
"Ehwm","E-oh-wm","Mount Mantell Member","Grainstone, grey, cross-bedded, oolitic; mudstone, archaeocyathan, intraclast-bearing."
"Ehws","E-oh-ws","Second Plain Creek Member","Mudstone, calcareous; wackestone; packstone; grainstone; intraclast rudstone and floatstone. Fossiliferous."
"Ehww","E-oh-ww","Winnitinny Creek Member","Grainstone, pale grey, white and pink, crossbedded, skeletal. Intraclasts, fossiliferous."
"Ek","E-ok","Kanmantoo Group","Marine metasandstone, phyllite, schist, gneiss, minor calcsilicate rock and marble."
"Ek2","E-ok----02","Kanmantoo Group unit 2","Pyritic and carbonaceous metasiltstone, including Talisker Calcsiltstone and Karinya Shale."
"Ek3","E-ok----03","Kanmantoo Group unit 3","Basic volcanics/metavolcanics: MURRAY DHDB."
"Ek4","E-ok----04","Kanmantoo Group unit 4","Undifferentiated possible volcanics intercalated with Kanmantoo Group metasediments; based on Kanmantoo Province Interpreted Solid Geology dataset."
"El","E-okl","Bollaparudda Subgroup","Greywacke, massive to laminated, fine to coarse grained, grading up to laminated siltstone in cycles; sandstone, laminated and cross-bedded; siltstone and shale, carbonaceous, sulphidic or calcareous."
"El1","E-okl---01","Bollaparudda Subgroup unit 1","Greywacke, sandstone, fine to coarse grained, cross bedding; siltstone, shale, carbonaceous, pyritic, blue-black, calcareous."
"Ela","E-okla","Talisker Formation","Siltstone, light to dark grey, calcareous, pyritic, pyrrhotitic, laminated; sandstone, fine-grained, lenticular, massive to parallel-laminated; limestone to marble, lenticular, minor interbeds."
"Elac","E-oklac","Cooalinga Member","Greywacke, fine to medium-grained, massive, siltstone rip-ups, calcsilicate-rich pebble horizons. Siltstone to fine-grained sandstone interbeds. Thin pyritic siltstone at base. Represents valley-fill deposit."
"Elan","E-oklan","Nairne Pyrite Member","Mudstone, black, pyritic with interbedded carbonate-rich bands; non pyritic sandstone."
"Elb","E-oklb","Balquhidder Formation","Sandstone and siltstone, laminated, graded bedding, flame structures and ripple drift crossbedding. Channelling."
"Elb1","E-oklb--01","Balquhidder Formation unit 1","Siltstone, pyritic, interbeds."
"Elk","E-oklk","Karinya Shale","Shale, siltstone, blue-black, pyritic, laminated, carbonaceous."
"Elkm","E-oklkm","Malabena Sandstone Member","Sandstone, pebbly, conglomeratic, epsilon crossbeds; grey siltstone; carbonaceous shale. Ferruginous and gossanous. Fluvial to shallow marine."
"Elm","E-oklm","Middleton Sandstone","Metasandstone, fine grained, grey, quartzose, large-scale tabular crossbeds with heavy mineral laminations, slumped tops to foresets, rare angular shale clasts at base of scour channels.  Relatively shallow marine."
"Elp","E-oklp","Petrel Cove Formation","Sandstone-mudstone couplets, grey-black, Bouma-like. parallel and cross-laminations, climbing ripples, ball and pillow structures, small scale scours, channels."
"Elt","E-oklt","Tapanappa Formation","Sandstone to greywacke, fine to coarse-grained, dark grey, thick-bedded to laminated; interbedded with laminated siltstone and thin, sulphidic siltstone and lenticular grit to conglomerate beds. scour-and fill channels, rare cross-bedding."
"Elt1","E-oklt--01","Tapanappa Formation unit 1","Siltstone, pyritic, interbeds."
"Elu","E-oklu","Tunkalilla Formation","Siltstone, blue-black, laminated, sulphidic, partly limonitic, upper and lower horizons; sandstone, medium to coarse-grained, dark grey, siltstone and phyllite interbeds. pebble conglomerate at base. Worm casts, bioturbation, very rare trilobites."
"Em","E-om","Marla Group","Sandstone; limestone; evaporites."
"Em2","E-om----02","Marla Group unit 2","Siltstone, sandstone, shale, limestone, conglomerate and arkose. Shallow marine, tidal, alluvial fan, aeolian, playa and fluvial. Apamurra Formation, Arcoeillinna Sandstone and Observatory Hill Formation."
"Em4","E-om----04","Marla Group unit 4","Relief Sandstone, Ouldburra Formation: aeolian, fluvial and evaporitic to tidal sandstone to mudstone; marine limestone and dolomite."
"Em5","E-om----05","Marla Group unit 5","Observatory Hill Formation, Arcoeillinna Sandstone, Apamurra Formation, Trainor Hill Sandstone, Wirrildar beds: mostly non-marine sandstone, siltstone, claystone and  minor dolomite, limestone, chert and conglomerate."
"Ema","E-om-a","Arcoeillinna Sandstone","Sandstone, red-brown, very fine to medium-grained, moderately well sorted and immature. Interbedded with claystone and siltstone. Also minor pebbly horizons. Clasts of claystone."
"Emi","E-om-i","Wirrildar beds","Sandstone, arkosic, feldspathic and micaceous; dolomite; siltstone, micaceous."
"Emi1","E-om-i--01","Wirrildar beds unit 1","Calcareous mudstone and carbonate including ooid-bearing micrite. AGSO-MESA Officer Basin seismic transect."
"Emo","E-om-o","Observatory Hill Formation","Siltstone and claystone, micacaeous, calcareous and dolomitic in part; minor sandstone; limestone and dolomite. Minor chert."
"Emoc","E-om-oc","Cadney Park Member","Siltstone, red, sandy to calcareous; occasional conglomerate."
"Emom","E-om-o-m","Moyles Chert Marker Bed","Limestone; dolomite; siltstone, greenish-grey to dark grey, with chert nodules and lenses."
"Emoo","E-om-oo","Oolarinna Member","Claystone and siltstone, red-brown, thinly bedded, occasionally conglomeratic, calcareous, grading up into very fine-grained sandstone."
"Emop","E-om-op","Parakeelya Alkali Member","Limestone; dolomite; siltstone; claystone. Pale brown-grey, green-grey and dark grey.  With Desiccation features, chert lenses, carbonate crusts."
"Emow","E-om-ow","Wallatinna Member","Arkose, parallel-bedded, c.g. to granule; conglomerate and siltstone, interbedded."
"Emp","E-om-p","Apamurra Formation","Siltstone, calcareous; sandstone, fine-grained; minor limestone and crossbedded sandstone."
"Empj","E-om-pj","Mount Johns Conglomerate Member","Conglomerate, poorly sorted, red-brown; cross-bedded feldspathic sandstone."
"Emr","E-om-r","Relief Sandstone","Sandstone, planar crossbedded, fine- to medium-grained, aeolian; sandstone with mud drapes, mud-chip intraclasts, scoured, fluviatile."
"Emt","E-om-t","Trainor Hill Sandstone","Sandstone, well-sorted, kaolinitic, feldspathic, calcareous, white, grey, red-brown; siltstone and claystone, micaceous, red-brown; pebbly horizons."
"Emt1","E-om-t--01","Trainor Hill Sandstone unit 1","Sandstone, medium to coarse grained,  kaolinitic, with rounded, very coarse to granule-sized grains. AGSO-MESA Officer Basin seismic transect."
"Emt2","E-om-t--02","Trainor Hill Sandstone unit 2","Mudstone, dark grey, organic, marker bed. AGSO-MESA Officer Basin seismic transect."
"Emu","E-om-u","Ouldburra Formation","Mixed carbonate/siliciclastics, marine carbonates and evaporites. Wackestone, packstone, grainstone, stromatolitic and thrombolitic algal boundstone, bafflestone and framestone."
"En","E-on","Normanville Group","Carbonate, marine shelf to basinal; shale; minor basal sandstone and felsic to mafic volcanic rock. 522±2Ma, 521±4 Ma."
"En2","E-on----02","Normanville Group unit 2","Interbedded Heatherdale Shale and Truro Volcanics."
"Ena","E-on-a","Angaston Marble","Marble, coarse-grained, amphibolitic, white, crystalline."
"Ene","E-on-e","Teal Flat Volcanics","Metavolcanics, alkali basalt to dacite."
"Enf","E-on-f","Fork Tree Limestone","Limestone, blue-grey, clean, massive, archaeocyathid-rich, biohermal, lower member. Limestone, sparsely fossiliferous, massive, mottled, upper member."
"Enh","E-on-h","Heatherdale Shale","SHALE, blue-black, grey, pyritic, calcareous; LIMESTONE, blue-black, pyritic, nodular and phosphatic. Rare trilobites, hyolithids, sponge spicules, gastropods, worm tracks. Tuff horizon: 526+/-4Ma (U-Pb)."
"Enh1","E-on-h--01","Heatherdale Shale unit 1","Ferruginous rock horizon, possibly gossanous syngenetic layer; associated minor siliceous rock may be fault or mylonite-related."
"Enk","E-on-k","Kapunda Marble","Marble, white, blue, pink, amphibolitic."
"Enm","E-on-m","Marne River Volcanics","Volcaniclastics, quartzo-felspathic, tuffaceous, dacitic to rhyolitic, fine- to medium-grained, schistose; metasandstone, fine- to medium-grained; calc-silicate, epidote-garnet; metasiltstone."
"Enr","E-on-r","Truro Volcanics","Andesite, dark grey, amygdaloidal; trachybasalt and andesite, greenish, calcite-filled amygdales; hawaiite pillow lava; interbedded volcanic breccia, conglomerate, volcaniclastic sediment, tuff, phyllite, sandstone, limestone."
"Ens","E-on-s","Sellick Hill Formation","Sandstone, arkosic, burrowed; silty ribbon limestone with intraformational breccias; bioherms and phosphatised hardgrounds."
"Ent","E-on-t","Mount Terrible Formation","Arkose, cross-bedded, coarse-grained to conglomeratic, Basal part, fluviatile? pyritic and glauconitic sandstone; minor shale, siltstone and dolomite."
"Enu","E-on--u","Koonunga Phosphorite Member","Breccia, sedimentary; siltstone, shale. Phosphatic."
"Enw","E-on-w","Wangkonda Formation","LIMESTONE: dark to pale grey, mottled; oolitic; intraclastic and fenestral structured; SANDSTONE, calcareous, grauconitic and bioturbated; SILTSTONE, calcareous."
"Eo","E-o","Moralana Supergroup","Sandstone, feldspathic, red, white, minor pyritic shale; siltstone; limestone, fossiliferous, oolitic, stromatolitic, with minor sandstone and siltstone."
"Eo1","E-o-----01","Moralana Supergroup unit 1","Kulpara Formation and Winulta Formation. Based on Ehk on WHYALLA."
"Eo10","E-o-----10","Moralana Supergroup unit 10","Sequence Set Cambrian-1 on Yorke Peninsula: Winulta Formation, Kulpara Formation, Parara Limestone: marine shelf to basinal carbonate, minor basal sandstone."
"Eo11","E-o-----11","Moralana Supergroup unit 11","Sequence Set Cambrian-2 and 3 on Yorke Peninsula: Ramsay Formation to Yuruga Formation: shallow marine to terrestrial redbeds, peritidal to marine limestone."
"Eo12","E-o-----12","Moralana Supergroup unit 12","Sequence Set Cambrian-1 of Adelaide Geosyncline and Stuart Shelf: Uratanna Formation, Hawker Group, Andamooka Limestone: marine shelf to basinal carbonate, minor basal sandstone and tuff: 564+/-61 - 526+/-4Ma."
